Plakaty ,,,,,,,,,
Ilość (szt),A4 170g kreda 130/170,A3 170g kreda 130/170,A4 200g kreda 200,A3 200g kreda 200,,,,,
"75,00zł",Drukowanie kolor A0 papier 180g/m2 PP,841 x 1189,,,,,,,
"45,40zł",Drukowanie kolor A1+ papier 180g/m2 PP,610 x 841,,,,,,,
"27,00zł",Drukowanie kolor A2 papier 180g/m2 PP,420 x 594,,,,,,,
"18,80zł",Drukowanie kolor A3 papier 180g/m2 PP,297 x 420,,,,,,,
2. NIEFORMATOWE [MB],,,,,,,,,
Cena,Opis (Format),Wymiary (mm),,,,,,,
"70,00zł",Drukowanie kolor A0+/rolka 1067 papier 180g/m2 PP,914 x 1292,,,,,,,
"62,00zł",Drukowanie kolor A0 papier 180g/m2 PP,841 x 1189,,,,,,,
"54,00zł",Drukowanie kolor A1+ papier 180g/m2 PP,610 x 841,,,,,,,
"45,00zł",Drukowanie kolor A2 papier 180g/m2 PP,420 x 594,,,,,,,
"43,50zł",Drukowanie kolor A3 papier 180g/m2 PP,297 x 420,,,,,,,
RABATY ILOŚCIOWE:,,,,,,,,,
od 2 do 5 szt. – cena - 5%,,,,,,,,,
od 6 do 20 szt. – cena - 8%,,,,,,,,,
od 20 do 30 szt. – cena - 13%,,,,,,,,,
Folia / Papier samoprzylepne,,,,,,,,,
Arkusze i Plotowane,,,,,,,,,
Ilość,Papier SRA3,Folia SRA3,Naklejki Papier,Naklejki Folia,Naklejki Express,,,,
1 szt,"20,00zł",59zł,40zł,50zł,Tego samego dnia,,,,
2 szt,"25,00zł","81,00zł",55zł,75zł,Tego samego dnia,,,,
3 szt,"29,00zł","102,00zł",70zł,99zł,Tego samego dnia,,,,
4 szt,"33,00zł","124,00zł",85zł,123zł,Tego samego dnia,,,,
5 szt,"36,00zł","145,00zł",95zł,145zł,Tego samego dnia,,,,
6 szt,"40,00zł","166,00zł",110zł,170zł,Tego samego dnia,,,,
7 szt,"44,00zł","188,00zł",115zł,190zł,Tego samego dnia,,,,
8 szt,"47,00zł","206,00zł",129zł,210zł,Tego samego dnia,,,,
9 szt,"51,00zł","226,00zł",145zł,240zł,Tego samego dnia,,,,
10 szt,"54,00zł","245,00zł",150zł,250zł,Tego samego dnia,,,,
15 szt,"75,00zł","295,00zł",189zł,330zł,Tego samego dnia,,,,
20 szt,"79,00zł","340,00zł",169zł,399zł,Tego samego dnia,,,,
25 szt,"105,00zł","380,00zł",210zł,490zł,Tego samego dnia,,,,
30 szt,"119,00zł","420,00zł",249zł,580zł,Tego samego dnia,,,,
,,,,,,,,,
Projektowanie Graficzne,,,,,,,,,
Usługa,Cena,,,,,,,,
Poprawki graficzne pliku klienta,od 10 zł do 65 zł (65 zł to godzina pracy),,,,,,,,
Przygotowanie graficzne BANERU/ROLLUP (prosty),od 160 zł,,,,,,,,
Przygotowanie graficzne BANERU/ROLLUP (złożony),od 250 zł,,,,,,,,
Przygotowanie graficzne WIZYTÓWKI (jednostronna),od 120 zł,,,,,,,,
Przygotowanie graficzne WIZYTÓWKI (dwustronna),od 180 zł,,,,,,,,
Przygotowanie graficzne ULOTKI (jednostronna),od 150 zł,,,,,,,,
Przygotowanie graficzne ULOTKI (dwustronna),od 210 zł,,,,,,,,
PAKIET PROSTY (wizytówka+ulotka+baner),od 349 zł,,,,,,,,
PAKIET ZŁOŻONY (wizytówka+ulotka+baner),od 449 zł,,,,,,,,
Przygotowanie graficzne LOGOTYPU (podstawowy),od 550 zł,,,,,,,,
Projekt grafik SOCIAL MEDIA (1 projekt),od 80 zł,,,,,,,,
Projekt grafik SOCIAL MEDIA (3 projekty),od 190 zł,,,,,,,,
Usługi dodatkowe,,,,,,,,,
Usługa,Cena,,,,,,,,
